Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
Sheldon Whitehouse (D-RI)|$200,000|NKE|Nike Inc|||
Sheldon Whitehouse (D-RI)|$199,100|PEP|Pepsico Inc|||
John Cornyn (R-TX)|$198,900|ANEFX|American Funds New Economy Fund|||
Tina Smith (D-MN)|$198,800|GIS|General Mills|||
Dianne Feinstein (D-CA)|$198,200|USFD|U.S. Foods Holding Group|||
Rob Portman (R-OH)|$197,800|VMLUX|Vanguard Limited Tax-Exempt Fund|||
Kamala Harris (D-CA)|$197,800|VSGAX|Vanguard Small Cap Growth Index|||
Rob Portman (R-OH)|$197,300|SDY|SDY-SPDR S&P Dividend ETF|||
Susan Collins (R-ME)|$196,500|AMT|American Tower Corporation (REIT)|Consumer Services|Real Estate Investment Trusts|
Kamala Harris (D-CA)|$196,200|EWJ|iShares Inc - iShares MSCI Japan ETF|||
Richard Burr (R-NC)|$196,000|USB|U.S. Bancorp|||
Richard Blumenthal (D-CT)|$195,100|GBDC|Golub BDC Inc|||
Jerry Moran (R-KS)|$194,700|FZAHX|Fidelity Growth Opportunity Fund|||
Ron Wyden (D-OR)|$193,200|JHAIX|JHancock Global Absolute Ret Strats I|||
David Perdue (R-GA)|$192,800|HBI|Hanesbrands Inc.|||
Tim Kaine (D-VA)|$192,600|LSBDX|Loomis Sayles Bond Institutional|||
Catherine Cortez Masto (D-NV)|$192,000|HIMCX|Hartford MidCap HLS IA|||
Pat Toomey (R-PA)|$191,600|IWF|iShares Russell 1000 Growth|||
Rob Portman (R-OH)|$188,700|VYM|Vanguard High Dividend Yield ETF|||
Rob Portman (R-OH)|$188,300|VWSTX|Vanguard Short Term Tax Exempt Fund|||
David Perdue (R-GA)|$187,600|URBN|Urban Outfitters, Inc.|||
David Perdue (R-GA)|$186,900|LGF-B|Lions Gate Entertainment Corp.|||
Kamala Harris (D-CA)|$186,800|IEI|iShares 3-7 Year Treasury Bond ETF|||
John Hoeven (R-ND)|$186,200|BIV|BIV Vanguard Bond Intermediate ETF|||
Kamala Harris (D-CA)|$185,800|TIP|iShares Tips Bond ETF|||
James M Inhofe (R-OK)|$185,500|BAM|Broofield Asset Management|||
Susan Collins (R-ME)|$184,800|FB|Facebook Inc|||
