Senator,Estimated Holdings,Symbol,Company,Sector,Industry,P,S
Catherine Cortez Masto (D-NV),968400,TWCF,Town & Country Bank,Technology,Computer Manufacturing,D,NV
John Hoeven (R-ND),963700,MCD,McDonald's Corp,Technology,Computer Manufacturing,R,ND
David Perdue (R-GA),952400,GSGDX,Goldman Sachs Corporate Credit Investment Fund,Technology,Computer Manufacturing,R,GA
David Perdue (R-GA),937900,AAPL,Apple Inc.,Technology,Computer Manufacturing,R,GA
John Hoeven (R-ND),917200,BX,Blackstone Group,Finance,Specialty Insurers,R,ND
John Hoeven (R-ND),910700,SBUX,Starbucks Corp,Finance,Specialty Insurers,R,ND
John Hoeven (R-ND),897200,AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,R,ND
David Perdue (R-GA),881000,BAX,Baxter International,Technology,Computer Manufacturing,R,GA
John Hoeven (R-ND),876400,PEP,Pepsico Inc,Technology,Computer Manufacturing,R,ND
Sheldon Whitehouse (D-RI),873100,MSFT,Microsoft Corp,Technology,Computer Manufacturing,D,RI
Rob Portman (R-OH),867800,SPY,S&P 500 EFT,Technology,Computer Manufacturing,R,OH
Kamala Harris (D-CA),838500,FLPKX,SFDCP Mid Cap Core,Technology,Computer Manufacturing,D,CA
Richard Blumenthal (D-CT),823700,WELL,Welltower Inc,Technology,Computer Manufacturing,D,CT
